Method	Drug	Coverage	Recall	Precision	Accuracy	Fscore	Specificity
vmdm	Ethambutol	10x	0.855140186915888	0.717647058823529	0.901623686723973	0.780383795309168	0.913565426170468
mykrobe	Ethambutol	10x	0.845794392523365	0.735772357723577	0.90639923591213	0.78695652173913	0.921968787515006
tb_profiler	Ethambutol	10x	0.924528301886792	0.720588235294118	0.911792905081496	0.809917355371901	0.908543922984356
vmdm	Isoniazid	10x	0.957303370786517	0.968181818181818	0.971527178602243	0.96271186440678	0.980392156862745
mykrobe	Isoniazid	10x	0.921348314606742	0.969267139479905	0.958584987057808	0.944700460829493	0.981792717086835
tb_profiler	Isoniazid	10x	0.956916099773243	0.967889908256881	0.971428571428571	0.962371721778791	0.980392156862745
vmdm	Pyrazinamide	10x	0.911111111111111	0.836734693877551	0.953667953667954	0.872340425531915	0.962616822429907
mykrobe	Pyrazinamide	10x	0.807407407407407	0.865079365079365	0.944658944658945	0.835249042145594	0.973520249221184
tb_profiler	Pyrazinamide	10x	0.82962962962963	0.848484848484849	0.944516129032258	0.838951310861423	0.96875
vmdm	Rifampicin	10x	0.979220779220779	0.984334203655353	0.988313856427379	0.981770833333333	0.992619926199262
mykrobe	Rifampicin	10x	0.94025974025974	0.986376021798365	0.976627712854758	0.962765957446808	0.993849938499385
tb_profiler	Rifampicin	10x	0.973753280839895	0.984084880636605	0.986599664991625	0.978891820580475	0.992619926199262
vmdm	Ethambutol	5x	0.855140186915888	0.734939759036145	0.907354345749761	0.790496760259179	0.920768307322929
mykrobe	Ethambutol	5x	0.766355140186916	0.752293577981651	0.900668576886342	0.759259259259259	0.935174069627851
tb_profiler	Ethambutol	5x	0.905660377358491	0.713754646840149	0.906999041227229	0.798336798336798	0.90734055354994
vmdm	Isoniazid	5x	0.957303370786517	0.972602739726027	0.973252804141501	0.964892412231031	0.983193277310924
mykrobe	Isoniazid	5x	0.849438202247191	0.966751918158568	0.930974978429681	0.904306220095694	0.981792717086835
tb_profiler	Isoniazid	5x	0.947845804988662	0.958715596330275	0.964502164502165	0.953249714937286	0.974789915966387
vmdm	Pyrazinamide	5x	0.888888888888889	0.845070422535211	0.952380952380952	0.866425992779783	0.965732087227414
mykrobe	Pyrazinamide	5x	0.681481481481481	0.85981308411215	0.925353925353925	0.760330578512397	0.976635514018692
tb_profiler	Pyrazinamide	5x	0.8	0.84375	0.939354838709677	0.821292775665399	0.96875
vmdm	Rifampicin	5x	0.971428571428571	0.984210526315789	0.985809682804674	0.977777777777778	0.992619926199262
mykrobe	Rifampicin	5x	0.857142857142857	0.985074626865672	0.94991652754591	0.916666666666667	0.993849938499385
tb_profiler	Rifampicin	5x	0.971128608923885	0.978835978835979	0.984087102177554	0.974967061923584	0.990159901599016
vmdm	Ethambutol	1x	0.691588785046729	0.732673267326733	0.885386819484241	0.711538461538461	0.935174069627851
mykrobe	Ethambutol	1x	0.177570093457944	0.844444444444444	0.825214899713467	0.293436293436293	0.991596638655462
tb_profiler	Ethambutol	1x	0.588785046728972	0.684782608695652	0.859884836852207	0.633165829145729	0.929951690821256
vmdm	Isoniazid	1x	0.817977528089888	0.962962962962963	0.918032786885246	0.88456865127582	0.980392156862745
mykrobe	Isoniazid	1x	0.143820224719101	1	0.671268334771355	0.25147347740668	1
tb_profiler	Isoniazid	1x	0.653846153846154	0.941368078175896	0.851819757365685	0.771695594125501	0.974719101123595
vmdm	Pyrazinamide	1x	0.525925925925926	0.816091954022989	0.897039897039897	0.63963963963964	0.975077881619938
mykrobe	Pyrazinamide	1x	0.0740740740740741	0.769230769230769	0.835263835263835	0.135135135135135	0.995327102803738
tb_profiler	Pyrazinamide	1x	0.466666666666667	0.707865168539326	0.873711340206186	0.5625	0.959438377535101
vmdm	Rifampicin	1x	0.794805194805195	0.971428571428571	0.926544240400668	0.874285714285714	0.988929889298893
mykrobe	Rifampicin	1x	0.132467532467532	0.980769230769231	0.720367278797997	0.233409610983982	0.998769987699877
tb_profiler	Rifampicin	1x	0.657963446475196	0.96551724137931	0.882648784576697	0.782608695652174	0.988888888888889
vmdm	Ethambutol	0.5x	0.523364485981308	0.64367816091954	0.843361986628462	0.577319587628866	0.925570228091236
