selection_frequency	feature_count	mean_importance	normalised_importance_percent
1	19609	0.00010073240196722559	0.031839468209237373
2	29920	0.00020089882873617487	0.063500043143016091
3	30370	0.00030003320521038076	0.09483440792089573
4	22625	0.00040538677122860988	0.12813453231442096
5	13640	0.00051531867739406138	0.16288177712522753
6	7061	0.00062760050437919138	0.19837178422275809
7	3141	0.00077113848184261387	0.24374122623955649
8	1518	0.00092825679071189193	0.29340313544291446
9	748	0.0010855023318058676	0.34310526017071485
10	471	0.0013336017685357962	0.42152445771017588
11	322	0.0013790930084091615	0.43590331553010619
12	281	0.0016206358154416517	0.51225009546873168
13	257	0.0015805979822093523	0.49959494882801808
14	179	0.0017861778740254609	0.56457458102290126
15	163	0.0018490277328389569	0.58444014605031369
16	165	0.0021302421144509974	0.67332630570160534
17	117	0.0020950258707080342	0.66219516565922221
18	111	0.0020099533014740541	0.63530545280908335
19	87	0.0022446314307938585	0.70948244742013522
20	86	0.002214915108287465	0.7000897208767376
21	76	0.0024911401592122894	0.78739885434083812
22	70	0.0027794917847023429	0.87854095195367587
23	74	0.0025030615325591214	0.79116695854836416
24	77	0.0026769123337073504	0.84611766902690977
25	56	0.0024952009141232085	0.78868237656771578
26	71	0.0035946087726211689	1.1361828915561372
27	65	0.0034036145374438448	1.0758134894539755
28	55	0.0041151544722077818	1.3007168243301783
29	32	0.003265186743068894	1.0320592726160795
30	53	0.0040679934302037301	1.2858101759402087
31	43	0.0055207883889043024	1.7450091824042577
32	32	0.0055500636363191875	1.7542624940614846
33	24	0.0068040161847195829	2.1506114495214832
34	24	0.0053869413749095827	1.7027028572917799
35	20	0.0047131563148815007	1.4897330722011477
36	18	0.0052172553043333333	1.6490685336367088
37	17	0.0068970919334558831	2.1800308050125254
38	12	0.0033147756654916664	1.0477333247400813
39	12	0.0069956927785824992	2.211196531357801
40	6	0.01011175354868	3.1961201099681014
41	8	0.0064143460672312497	2.0274446325334767
42	5	0.0071951684385140003	2.27424673972047
43	4	0.0032897074912750001	1.0398097835512705
44	4	0.01066165670091	3.3699333378039986
45	1	0.0041102183518000003	1.2991566168325783
46	4	0.0073388029752249999	2.3196467021560561
47	8	0.0140624545156375	4.4448565183640145
48	4	0.0085242961096999997	2.6943570260463452
49	3	0.024624303953500001	7.7832428055984675
50	2	0.033964550489599996	10.735505204239114
51	16	0.079107718390631243	25.004344536758978
