Method	Drug	Size	Recall	Precision	Accuracy	Fscore	Specificity	tp	fp	tn	fn	un
vmdm	Amikacin	r1000	0	0	0.802395209580838	NA	0.992592592592593	0	1	134	32	0
vmdm	Amikacin	r10000	0.03125	0.5	0.808383233532934	0.0588235294117647	0.992592592592593	1	1	134	31	0
vmdm	Amikacin	r100000	0.65625	0.807692307692308	0.904191616766467	0.724137931034483	0.962962962962963	21	5	130	11	0
vmdm	Amikacin	r1000000	0.9375	0.810810810810811	0.946107784431138	0.869565217391304	0.948148148148148	30	7	128	2	0
vmdm	Amikacin	r5000	0	0	0.802395209580838	NA	0.992592592592593	0	1	134	32	0
vmdm	Amikacin	r50000	0.3125	0.666666666666667	0.838323353293413	0.425531914893617	0.962962962962963	10	5	130	22	0
vmdm	Amikacin	r500000	0.9375	0.810810810810811	0.946107784431138	0.869565217391304	0.948148148148148	30	7	128	2	0
vmdm	Bedaquiline	r1000	0	1	1	0	1	0	0	3	0	0
vmdm	Bedaquiline	r10000	0	1	1	0	1	0	0	3	0	0
vmdm	Bedaquiline	r100000	0	1	1	0	1	0	0	3	0	0
vmdm	Bedaquiline	r1000000	0	1	1	0	1	0	0	3	0	0
vmdm	Bedaquiline	r5000	0	1	1	0	1	0	0	3	0	0
vmdm	Bedaquiline	r50000	0	1	1	0	1	0	0	3	0	0
vmdm	Bedaquiline	r500000	0	1	1	0	1	0	0	3	0	0
vmdm	Capreomycin	r1000	0.0217391304347826	1	0.735294117647059	0.0425531914893617	1	1	0	124	45	0
vmdm	Capreomycin	r10000	0.0652173913043478	1	0.747058823529412	0.122448979591837	1	3	0	124	43	0
vmdm	Capreomycin	r100000	0.652173913043478	0.909090909090909	0.888235294117647	0.759493670886076	0.975806451612903	30	3	121	16	0
vmdm	Capreomycin	r1000000	0.891304347826087	0.911111111111111	0.947058823529412	0.901098901098901	0.967741935483871	41	4	120	5	0
vmdm	Capreomycin	r5000	0.0217391304347826	1	0.735294117647059	0.0425531914893617	1	1	0	124	45	0
vmdm	Capreomycin	r50000	0.304347826086957	0.933333333333333	0.805882352941176	0.459016393442623	0.991935483870968	14	1	123	32	0
vmdm	Capreomycin	r500000	0.891304347826087	0.911111111111111	0.947058823529412	0.901098901098901	0.967741935483871	41	4	120	5	0
vmdm	Clofazimine	r1000	0	1	1	0	1	0	0	6	0	0
vmdm	Clofazimine	r10000	0	1	1	0	1	0	0	6	0	0
vmdm	Clofazimine	r100000	0	1	1	0	1	0	0	6	0	0
vmdm	Clofazimine	r1000000	0	1	1	0	1	0	0	6	0	0
vmdm	Clofazimine	r5000	0	1	1	0	1	0	0	6	0	0
vmdm	Clofazimine	r50000	0	1	1	0	1	0	0	6	0	0
vmdm	Clofazimine	r500000	0	1	1	0	1	0	0	6	0	0
vmdm	Delamanid	r1000	0	1	1	0	1	0	0	2	0	0
vmdm	Delamanid	r10000	0	1	1	0	1	0	0	2	0	0
vmdm	Delamanid	r100000	0	1	1	0	1	0	0	2	0	0
vmdm	Delamanid	r1000000	0	1	1	0	1	0	0	2	0	0
vmdm	Delamanid	r5000	0	1	1	0	1	0	0	2	0	0
vmdm	Delamanid	r50000	0	1	1	0	1	0	0	2	0	0
vmdm	Delamanid	r500000	0	1	1	0	1	0	0	2	0	0
vmdm	Ethambutol	r1000	0.0747663551401869	0.695652173913043	0.804202483285578	0.135021097046413	0.991596638655462	16	7	826	198	0
vmdm	Ethambutol	r10000	0.378504672897196	0.716814159292035	0.842406876790831	0.495412844036697	0.961584633853541	81	32	801	133	0
vmdm	Ethambutol	r100000	0.691588785046729	0.732673267326733	0.885386819484241	0.711538461538461	0.935174069627851	148	54	779	66	0
vmdm	Ethambutol	r1000000	0.855140186915888	0.717647058823529	0.901623686723973	0.780383795309168	0.913565426170468	183	72	761	31	0
vmdm	Ethambutol	r5000	0.266355140186916	0.686746987951807	0.825214899713467	0.383838383838384	0.968787515006002	57	26	807	157	0
vmdm	Ethambutol	r50000	0.523364485981308	0.64367816091954	0.843361986628462	0.577319587628866	0.925570228091236	112	62	771	102	0
vmdm	Ethambutol	r500000	0.855140186915888	0.734939759036145	0.907354345749761	0.790496760259179	0.920768307322929	183	66	767	31	0
vmdm	Ethionamide	r1000	0	1	0.551282051282051	0	1	0	0	43	35	0
vmdm	Ethionamide	r10000	0.0285714285714286	0.5	0.551282051282051	0.0540540540540541	0.976744186046512	1	1	42	34	0
vmdm	Ethionamide	r100000	0.628571428571429	0.666666666666667	0.692307692307692	0.647058823529412	0.744186046511628	22	11	32	13	0
vmdm	Ethionamide	r1000000	0.971428571428571	0.68	0.782051282051282	0.8	0.627906976744186	34	16	27	1	0
vmdm	Ethionamide	r5000	0	1	0.551282051282051	0	1	0	0	43	35	0
vmdm	Ethionamide	r50000	0.314285714285714	0.578947368421053	0.58974358974359	0.407407407407407	0.813953488372093	11	8	35	24	0
vmdm	Ethionamide	r500000	0.942857142857143	0.673469387755102	0.769230769230769	0.785714285714286	0.627906976744186	33	16	27	2	0
vmdm	Isoniazid	r1000	0.0853932584269663	0.974358974358974	0.647972389991372	0.15702479338843	0.99859943977591	38	1	713	407	0
vmdm	Isoniazid	r10000	0.366292134831461	0.926136363636364	0.745470232959448	0.524959742351047	0.981792717086835	163	13	701	282	0
vmdm	Isoniazid	r100000	0.817977528089888	0.962962962962963	0.918032786885246	0.88456865127582	0.980392156862745	364	14	700	81	0
vmdm	Isoniazid	r1000000	0.957303370786517	0.968181818181818	0.971527178602243	0.96271186440678	0.980392156862745	426	14	700	19	0
vmdm	Isoniazid	r5000	0.271910112359551	0.9453125	0.714408973252804	0.422338568935428	0.990196078431373	121	7	707	324	0
vmdm	Isoniazid	r50000	0.678651685393258	0.952681388012618	0.86367558239862	0.792650918635171	0.978991596638655	302	15	699	143	0
vmdm	Isoniazid	r500000	0.957303370786517	0.972602739726027	0.973252804141501	0.964892412231031	0.983193277310924	426	12	702	19	0
vmdm	Kanamycin	r1000	0.0232558139534884	1	0.732484076433121	0.0454545454545454	1	1	0	114	42	0
vmdm	Kanamycin	r10000	0.0697674418604651	1	0.745222929936306	0.130434782608696	1	3	0	114	40	0
vmdm	Kanamycin	r100000	0.558139534883721	1	0.878980891719745	0.716417910447761	1	24	0	114	19	0
vmdm	Kanamycin	r1000000	0.883720930232558	1	0.968152866242038	0.938271604938272	1	38	0	114	5	0
