Method	Size	Name	CPUs	Time	Maxmem
mykrobe	r1000	ERR1035005	181.72	41.12	494188
mykrobe	r1000	ERR1035119	177.54	41.01	493944
mykrobe	r1000	ERR126630	101.45	37.15	494456
mykrobe	r1000	ERR176459	170.07	40.45	493536
mykrobe	r1000	ERR176635	92.39	36.91	493468
mykrobe	r1000	ERR181942	188.56	41.57	494604
mykrobe	r1000	ERR245709	132.99	38.57	492844
mykrobe	r1000	ERR245785	172.12	41.03	493944
mykrobe	r1000	SAMEA1016120	83.09	37.14	493996
mykrobe	r1000	SAMEA104302773	108.38	37.43	493492
mykrobe	r1000	SAMEA1101630	110.73	37.38	493572
mykrobe	r1000	SAMEA1102417	155.65	41.75	492972
mykrobe	r1000	SAMEA1117586	84.92	37.46	493772
mykrobe	r1000	SAMEA1118442	102.31	37.12	493288
mykrobe	r1000	SAMEA1119086	85.92	36.25	493804
mykrobe	r1000	SAMEA1119856	178.31	41.56	494988
mykrobe	r1000	SAMEA1403637	168.05	40.58	494276
mykrobe	r1000	SAMEA1403704	93.26	36.44	493844
mykrobe	r1000	SAMEA1403937	126.65	38.23	494248
mykrobe	r1000	SAMEA2533488	100.36	36.57	495652
mykrobe	r1000	SAMEA2533688	81.15	37.22	494268
mykrobe	r1000	SAMEA2534879	86.74	37.12	492644
mykrobe	r1000	SAMEA2709874	173.56	40.41	495040
mykrobe	r1000	SAMEA3220391	179.24	40.99	493984
mykrobe	r1000	SAMEA3305009	88.93	37.2	494176
mykrobe	r1000	SAMEA3443154	94.82	38.09	493420
mykrobe	r1000	SAMEA3445009	183.57	41.24	494776
mykrobe	r1000	SAMEA3450051	120.69	37.98	493448
mykrobe	r1000	SAMN01908851	90.32	37.21	494480
mykrobe	r1000	SAMN02381037	99.71	37.49	487672
mykrobe	r1000	SAMN02398716	90.94	36.54	493564
mykrobe	r1000	SAMN02567713	98.78	36.75	493548
mykrobe	r1000	SAMN03647507	116.76	37.97	496148
mykrobe	r1000	SAMN03647666	91.27	38	492664
mykrobe	r1000	SAMN03648643	173.47	40.62	495224
mykrobe	r1000	SAMN03648823	104.41	37.47	494044
mykrobe	r1000	SAMN03653278	170.1	40.74	493092
mykrobe	r1000	SAMN07236255	168.79	40.75	493652
mykrobe	r1000	SAMN07236287	87.83	37.19	494212
mykrobe	r1000	SAMN07236511	92.56	37.22	494628
mykrobe	r1000	SAMN07236514	126.04	38.59	494864
mykrobe	r1000	SAMN07658827	174.08	40.9	493144
mykrobe	r1000	SAMN07765925	101.39	36.98	493692
mykrobe	r1000	SAMN07766033	127.86	38.09	493892
mykrobe	r1000	SAMN07766169	100.36	37.02	493800
mykrobe	r1000	SAMN07766431	76.33	35.19	494120
mykrobe	r1000	SAMN08214826	118.88	38.12	495400
mykrobe	r1000	SAMN08215206	93.23	38.97	493064
mykrobe	r1000	SAMN09090461	124.27	37.9	494244
mykrobe	r1000	SRS797241	175.14	40.88	493652
mykrobe	r10000	ERR1035005	97.24	37.71	562680
mykrobe	r10000	ERR1035119	95.35	37.23	562892
mykrobe	r10000	ERR126630	122.78	37.79	564164
mykrobe	r10000	ERR176459	175.54	40.87	566316
mykrobe	r10000	ERR176635	88.31	37.48	563628
mykrobe	r10000	ERR181942	167.13	40.31	566012
mykrobe	r10000	ERR245709	91.7	36.37	562772
mykrobe	r10000	ERR245785	125.67	38.87	560996
mykrobe	r10000	SAMEA1016120	177.28	41.47	564200
mykrobe	r10000	SAMEA104302773	127.46	38.47	564708
mykrobe	r10000	SAMEA1101630	166.13	40.74	565968
mykrobe	r10000	SAMEA1102417	88.23	38.15	563588
mykrobe	r10000	SAMEA1117586	122.74	38.22	566840
mykrobe	r10000	SAMEA1118442	105.15	37.49	562048
mykrobe	r10000	SAMEA1119086	130.85	38.78	562336
mykrobe	r10000	SAMEA1119856	180.38	40.91	564396
mykrobe	r10000	SAMEA1403637	76.79	35.63	562924
mykrobe	r10000	SAMEA1403704	102.77	37.31	565124
