Method,Coverage,CPUs,Time,Maxmem_MB
mykrobe,0.01×,101.45,37.47,482.23
mykrobe,0.05×,108.60,37.92,517.36
mykrobe,0.1×,109.02,38.00,550.61
mykrobe,0.5×,114.66,45.20,639.63
mykrobe,10×,148.91,55.24,656.19
mykrobe,1×,120.74,46.04,653.15
mykrobe,5×,122.60,49.53,656.16
tb_profiler,0.01×,45.66,3.64,74.39
tb_profiler,0.05×,46.50,3.81,72.82
tb_profiler,0.1×,47.84,3.89,74.23
tb_profiler,0.5×,51.04,4.26,177.71
tb_profiler,10×,81.10,10.31,530.07
tb_profiler,1×,53.47,4.70,229.66
tb_profiler,5×,65.37,7.34,378.68
vmdm,0.01×,92.31,28.51,206.07
vmdm,0.05×,102.65,38.72,536.46
vmdm,0.1×,105.38,42.86,558.72
vmdm,0.5×,113.44,48.78,558.57
vmdm,10×,163.20,66.16,561.12
vmdm,1×,124.98,53.89,558.67
vmdm,5×,144.65,62.69,558.54
