Freq	Depth	Type	TP	FP	PPV
0	1x	hom	0	6984	0
0	2x~3x	het	0	5252	0
0	2x~3x	hom	0	53	0
0	>=4x	het	0	986	0
0	>=4x	hom	0	1	0
0.25~0.50	1x	hom	6237	313	0.952213740458015
0.25~0.50	2x~3x	het	58	246	0.190789473684211
0.25~0.50	2x~3x	hom	4482	4	0.999108337048596
0.25~0.50	>=4x	het	437	93	0.824528301886792
0.25~0.50	>=4x	hom	12347	5	0.999595207253886
0.50~1.00	1x	hom	9328	264	0.972477064220184
0.50~1.00	2x~3x	het	114	228	0.333333333333333
0.50~1.00	2x~3x	hom	6834	9	0.998684787373959
0.50~1.00	>=4x	het	741	99	0.882142857142857
0.50~1.00	>=4x	hom	19029	1	0.999947451392538
1.00~5.00	1x	hom	40010	549	0.986464163317636
1.00~5.00	2x~3x	het	612	384	0.614457831325301
1.00~5.00	2x~3x	hom	29295	7	0.999761108456761
1.00~5.00	>=4x	het	4024	220	0.948162111215834
1.00~5.00	>=4x	hom	80781	0	1
<0.25	1x	hom	10346	5036	0.672604342738266
<0.25	2x~3x	het	194	3932	0.0470189045079981
<0.25	2x~3x	hom	7371	22	0.99702421209252
<0.25	>=4x	het	923	715	0.563492063492063
<0.25	>=4x	hom	20915	2	0.999904383993881
>5.00	1x	hom	410761	1102	0.997324353000877
>5.00	2x~3x	het	2666	825	0.763678029217989
>5.00	2x~3x	hom	301964	32	0.999894038331633
>5.00	>=4x	het	16364	1016	0.941542002301496
>5.00	>=4x	hom	852044	22	0.999974180403865
