Drug	Size	Name	Recall	Precision
Ethambutol	r1000	ERR036186	0.10420841683366733	0.8
Ethambutol	r1000	ERR036241	0.19839679358717435	0.7615384615384615
Ethambutol	r1000	ERR037493	0.23446893787575152	0.7959183673469388
Ethambutol	r1000	ERR037520	0.2545090180360721	0.7604790419161677
Ethambutol	r1000	ERR037528	0.006012024048096192	0.5
Ethambutol	r1000	ERR1034635	0.218436873747495	0.7517241379310344
Ethambutol	r1000	ERR1034671	0.04408817635270541	0.7586206896551724
Ethambutol	r1000	ERR1034684	0.002004008016032064	0.5
Ethambutol	r1000	ERR1034685	0.13827655310621242	0.7666666666666667
Ethambutol	r1000	ERR1034724	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR1034749	0.6192384769539078	0.7763819095477387
Ethambutol	r1000	ERR1034750	0.04809619238476954	0.6153846153846154
Ethambutol	r1000	ERR1034754	0.19839679358717435	0.7795275590551181
Ethambutol	r1000	ERR1034764	0.19438877755511022	0.776
Ethambutol	r1000	ERR1034787	0.22444889779559118	0.7516778523489933
Ethambutol	r1000	ERR1034792	0.32665330661322645	0.7688679245283019
Ethambutol	r1000	ERR1034830	0.022044088176352707	0.8461538461538461
Ethambutol	r1000	ERR1034868	0.17234468937875752	0.8037383177570093
Ethambutol	r1000	ERR1034869	0.1843687374749499	0.8
Ethambutol	r1000	ERR1034880	0.1282565130260521	0.7619047619047619
Ethambutol	r1000	ERR1034924	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR1034927	0.13226452905811623	0.75
Ethambutol	r1000	ERR1034934	0.21442885771543085	0.7753623188405797
Ethambutol	r1000	ERR1034970	0.008016032064128256	0.8
Ethambutol	r1000	ERR1034971	0.7054108216432866	0.7505330490405118
Ethambutol	r1000	ERR1034987	0.15430861723446893	0.7623762376237624
Ethambutol	r1000	ERR1035005	0.12424849699398798	0.7560975609756098
Ethambutol	r1000	ERR1035028	0.12625250501002003	0.7590361445783133
Ethambutol	r1000	ERR1035043	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR1035071	0.1903807615230461	0.7983193277310925
Ethambutol	r1000	ERR1035079	0.0	0.0
Ethambutol	r1000	ERR1035089	0.06813627254509018	0.918918918918919
Ethambutol	r1000	ERR1035119	0.16432865731462926	0.7735849056603774
Ethambutol	r1000	ERR1035137	0.15030060120240482	0.75
Ethambutol	r1000	ERR1035152	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	ERR1035171	0.13627254509018036	0.7555555555555555
Ethambutol	r1000	ERR1035177	0.09018036072144289	0.8035714285714286
Ethambutol	r1000	ERR1035237	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR1035259	0.1062124248496994	0.7162162162162162
Ethambutol	r1000	ERR1035315	0.028056112224448898	0.7368421052631579
Ethambutol	r1000	ERR1035316	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR1035350	0.01002004008016032	0.5555555555555556
Ethambutol	r1000	ERR1036286	0.12625250501002003	0.7974683544303798
Ethambutol	r1000	ERR1036289	0.0	0.0
Ethambutol	r1000	ERR1036296	0.006012024048096192	0.75
Ethambutol	r1000	ERR124641	0.20240480961923848	0.7593984962406015
Ethambutol	r1000	ERR124650	0.12024048096192384	0.6741573033707865
Ethambutol	r1000	ERR126630	0.11222444889779559	0.7567567567567568
Ethambutol	r1000	ERR126633	0.012024048096192385	0.8571428571428571
Ethambutol	r1000	ERR161028	0.17635270541082165	0.7652173913043478
Ethambutol	r1000	ERR161030	0.1342685370741483	0.788235294117647
Ethambutol	r1000	ERR161096	0.11623246492985972	0.7532467532467533
Ethambutol	r1000	ERR161105	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	ERR161127	0.22244488977955912	0.75
Ethambutol	r1000	ERR161129	0.13026052104208416	0.7647058823529411
Ethambutol	r1000	ERR161138	0.050100200400801605	0.8620689655172413
Ethambutol	r1000	ERR161156	0.008016032064128256	0.8
Ethambutol	r1000	ERR161163	0.09418837675350701	0.7580645161290323
Ethambutol	r1000	ERR161164	0.012024048096192385	0.8571428571428571
Ethambutol	r1000	ERR161180	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR161190	0.27054108216432865	0.75
Ethambutol	r1000	ERR163940	0.04809619238476954	0.6
Ethambutol	r1000	ERR163958	0.050100200400801605	0.78125
Ethambutol	r1000	ERR164002	0.12224448897795591	0.7625
Ethambutol	r1000	ERR164015	0.056112224448897796	0.7567567567567568
Ethambutol	r1000	ERR176459	0.02004008016032064	0.7692307692307693
Ethambutol	r1000	ERR176463	0.24248496993987975	0.7515527950310559
Ethambutol	r1000	ERR176485	0.250501002004008	0.7716049382716049
Ethambutol	r1000	ERR176506	0.09819639278557114	0.7538461538461538
Ethambutol	r1000	ERR176524	0.156312625250501	0.7878787878787878
Ethambutol	r1000	ERR176533	0.050100200400801605	0.8333333333333334
Ethambutol	r1000	ERR176567	0.23246492985971945	0.7733333333333333
Ethambutol	r1000	ERR176582	0.2565130260521042	0.7757575757575758
Ethambutol	r1000	ERR176585	0.07414829659318638	0.8043478260869565
