Drug	Drug_short	QC	SeqTreat_sequence_outcome	Metric	Metric_label	n_specimens	TB_Profiler	VMDM	Delta	Delta_CI_low	Delta_CI_high	Delta_pp	Delta_CI_low_pp	Delta_CI_high_pp
Rifampicin	RIF	pass	Complete sequence	Recall	Recall	617	0.989107	0.989107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Rifampicin	RIF	pass	Complete sequence	Precision	Precision	617	0.951782	0.949791	-0.001991	-0.006150	0.000000	-0.199118	-0.614970	0.000000
Rifampicin	RIF	pass	Complete sequence	F1	F1-score	617	0.970085	0.969050	-0.001035	-0.003190	0.000000	-0.103531	-0.318972	0.000000
Isoniazid	INH	pass	Complete sequence	Recall	Recall	617	0.957356	0.972281	0.014925	0.002123	0.029726	1.492537	0.212303	2.972557
Isoniazid	INH	pass	Complete sequence	Precision	Precision	617	0.993363	0.982759	-0.010604	-0.022589	0.000138	-1.060421	-2.258881	0.013761
Isoniazid	INH	pass	Complete sequence	F1	F1-score	617	0.975027	0.977492	0.002465	-0.006315	0.011585	0.246482	-0.631488	1.158529
Ethambutol	EMB	pass	Complete sequence	Recall	Recall	617	0.887955	0.896359	0.008403	-0.008108	0.025140	0.840336	-0.810811	2.513966
Ethambutol	EMB	pass	Complete sequence	Precision	Precision	617	0.861413	0.848806	-0.012607	-0.027605	0.001950	-1.260668	-2.760460	0.194970
Ethambutol	EMB	pass	Complete sequence	F1	F1-score	617	0.874483	0.871935	-0.002548	-0.014667	0.009288	-0.254815	-1.466685	0.928773
Pyrazinamide	PZA	pass	Complete sequence	Recall	Recall	617	0.830861	0.848665	0.017804	-0.017291	0.056820	1.780415	-1.729107	5.681988
Pyrazinamide	PZA	pass	Complete sequence	Precision	Precision	617	0.958904	0.934641	-0.024264	-0.044046	-0.005720	-2.426359	-4.404626	-0.572044
Pyrazinamide	PZA	pass	Complete sequence	F1	F1-score	617	0.890302	0.889580	-0.000722	-0.023050	0.023311	-0.072197	-2.304989	2.331080
Rifampicin	RIF	partial	Partial sequence	Recall	Recall	45	0.937500	0.937500	0.000000	-0.093750	0.088302	0.000000	-9.375000	8.830214
Rifampicin	RIF	partial	Partial sequence	Precision	Precision	45	0.882353	0.882353	0.000000	-0.012121	0.011394	0.000000	-1.212121	1.139382
Rifampicin	RIF	partial	Partial sequence	F1	F1-score	45	0.909091	0.909091	0.000000	-0.050794	0.049715	0.000000	-5.079365	4.971461
Isoniazid	INH	partial	Partial sequence	Recall	Recall	45	0.827586	0.931034	0.103448	0.000000	0.222222	10.344828	0.000000	22.222222
Isoniazid	INH	partial	Partial sequence	Precision	Precision	45	0.960000	0.900000	-0.060000	-0.156266	0.007969	-6.000000	-15.626616	0.796906
Isoniazid	INH	partial	Partial sequence	F1	F1-score	45	0.888889	0.915254	0.026365	-0.049887	0.111434	2.636535	-4.988662	11.143381
Ethambutol	EMB	partial	Partial sequence	Recall	Recall	45	0.904762	0.904762	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Ethambutol	EMB	partial	Partial sequence	Precision	Precision	45	0.826087	0.791667	-0.034420	-0.117391	0.000000	-3.442029	-11.739130	0.000000
Ethambutol	EMB	partial	Partial sequence	F1	F1-score	45	0.863636	0.844444	-0.019192	-0.064865	0.000000	-1.919192	-6.486486	0.000000
Pyrazinamide	PZA	partial	Partial sequence	Recall	Recall	45	0.800000	0.750000	-0.050000	-0.222222	0.125000	-5.000000	-22.222222	12.500000
Pyrazinamide	PZA	partial	Partial sequence	Precision	Precision	45	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pyrazinamide	PZA	partial	Partial sequence	F1	F1-score	45	0.888889	0.857143	-0.031746	-0.150012	0.081754	-3.174603	-15.001176	8.175393
Rifampicin	RIF	fail	Sequence failure	Recall	Recall	62	0.636364	0.795455	0.159091	0.060000	0.272772	15.909091	6.000000	27.277184
Rifampicin	RIF	fail	Sequence failure	Precision	Precision	62	0.823529	0.813953	-0.009576	-0.083899	0.045455	-0.957592	-8.389879	4.545455
Rifampicin	RIF	fail	Sequence failure	F1	F1-score	62	0.717949	0.804598	0.086649	0.011706	0.174811	8.664898	1.170565	17.481122
Isoniazid	INH	fail	Sequence failure	Recall	Recall	62	0.325000	0.800000	0.475000	0.317041	0.631579	47.500000	31.704108	63.157895
Isoniazid	INH	fail	Sequence failure	Precision	Precision	62	0.722222	0.761905	0.039683	-0.120927	0.222285	3.968254	-12.092720	22.228507
Isoniazid	INH	fail	Sequence failure	F1	F1-score	62	0.448276	0.780488	0.332212	0.184661	0.494281	33.221194	18.466104	49.428123
Ethambutol	EMB	fail	Sequence failure	Recall	Recall	62	0.500000	0.692308	0.192308	0.000000	0.379310	19.230769	0.000000	37.931034
Ethambutol	EMB	fail	Sequence failure	Precision	Precision	62	0.722222	0.562500	-0.159722	-0.335746	-0.008622	-15.972222	-33.574634	-0.862185
Ethambutol	EMB	fail	Sequence failure	F1	F1-score	62	0.590909	0.620690	0.029781	-0.123641	0.191860	2.978056	-12.364114	19.186026
Pyrazinamide	PZA	fail	Sequence failure	Recall	Recall	64	0.407407	0.592593	0.185185	0.045455	0.346154	18.518519	4.545455	34.615385
Pyrazinamide	PZA	fail	Sequence failure	Precision	Precision	64	0.647059	0.571429	-0.075630	-0.235588	0.079874	-7.563025	-23.558812	7.987351
Pyrazinamide	PZA	fail	Sequence failure	F1	F1-score	64	0.500000	0.581818	0.081818	-0.044444	0.229685	8.181818	-4.444444	22.968461
