Drug	Method	QC	SeqTreat_sequence_outcome	n_records	n_lab_R	n_pred_R	TP	TN	FP	FN	Recall	Recall_CI_low	Recall_CI_high	Specificity	Precision	Precision_CI_low	Precision_CI_high	F1	NPV
Rifampicin	TB-Profiler	fail	Sequence failure	62	44	34	28	12	6	16	0.6363636363636364	0.48866107278891047	0.7621666587250857	0.6666666666666666	0.8235294117647058	0.6648593225994784	0.9165114439643031	0.717948717948718	0.42857142857142855
Rifampicin	VMDM	fail	Sequence failure	62	44	43	35	10	8	9	0.7954545454545454	0.6549913631816677	0.888468721765324	0.5555555555555556	0.813953488372093	0.6738270676469403	0.9025836441989402	0.8045977011494253	0.5263157894736842
Rifampicin	TB-Profiler	partial	Partial sequence	45	32	34	30	9	4	2	0.9375	0.7985253275199642	0.9826897968048427	0.6923076923076923	0.8823529411764706	0.7337882520370121	0.9532862902656388	0.9090909090909091	0.8181818181818182
Rifampicin	VMDM	partial	Partial sequence	45	32	34	30	9	4	2	0.9375	0.7985253275199642	0.9826897968048427	0.6923076923076923	0.8823529411764706	0.7337882520370121	0.9532862902656388	0.9090909090909091	0.8181818181818182
Rifampicin	TB-Profiler	pass	Complete sequence	617	459	477	454	135	23	5	0.9891067538126361	0.9747559059238956	0.9953383984774374	0.8544303797468354	0.9517819706498952	0.9286870935582994	0.9676579814102557	0.9700854700854701	0.9642857142857143
Rifampicin	VMDM	pass	Complete sequence	617	459	478	454	134	24	5	0.9891067538126361	0.9747559059238956	0.9953383984774374	0.8481012658227848	0.9497907949790795	0.9263788346933519	0.9660306210281964	0.9690501600853789	0.9640287769784173
Isoniazid	TB-Profiler	fail	Sequence failure	62	40	18	13	17	5	27	0.325	0.20084316962661725	0.4798254191110201	0.7727272727272727	0.7222222222222222	0.49126922453805477	0.8750043085364452	0.4482758620689655	0.38636363636363635
Isoniazid	VMDM	fail	Sequence failure	62	40	42	32	12	10	8	0.8	0.6524239261814333	0.8950013502683314	0.5454545454545454	0.7619047619047619	0.6147216491768113	0.8651917918898182	0.7804878048780488	0.6
Isoniazid	TB-Profiler	partial	Partial sequence	45	29	25	24	15	1	5	0.8275862068965517	0.6545119942718488	0.9240225472852007	0.9375	0.96	0.8045552759497747	0.9929039496133008	0.8888888888888888	0.75
Isoniazid	VMDM	partial	Partial sequence	45	29	30	27	13	3	2	0.9310344827586207	0.7803505240414808	0.9808791359020055	0.8125	0.9	0.7437855868473339	0.9654007400402839	0.9152542372881356	0.8666666666666667
